管理部查詢時間,地區,機關窗口,機關名稱,標案案號,標案名稱,預算金額,本採購是否屬中央政府計畫型案件,計劃案名稱,招標方式,公告日期,截止日期,詳細連結
2026/05/28 10:37:11,中部,未提供,文藻學校財團法人文藻外語大學,A11400239 (更正公告),國企管系AI電腦及麥克風採購案,"1,115,182",否,無,公開招標,115/05/28,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjc0NjU=
2026/05/28 10:37:11,中部,未提供,南臺學校財團法人南臺科技大學,11513000207,AI計算伺服器系統,"520,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/02,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjk0MTY=
2026/05/28 10:37:11,中部,未提供,高雄市立凱旋醫院,KSPH1153032,健康台灣深耕計畫-建置AI智能排班系統,"1,100,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjkxNTA=
2026/05/28 10:37:11,中部,未提供,屏東縣政府,E1150521-1 (更正公告),屏東縣政府AI推動策略委託專業規劃案,"1,000,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/08,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMzI=
2026/05/28 10:37:11,中部,未提供,國立虎尾科技大學,B115046 (更正公告),AI智慧機器人與邊緣運算開發設備採購案,"1,460,000",否,無,公開取得報價單或企劃書,115/05/25,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTk4Njk=
2026/05/28 10:37:11,中部,未提供,衛生福利部臺北醫院,INF-2891-11501,乳房攝影AI影像偵測輔助系統租賃,"840,000",否,無,公開取得報價單或企劃書,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg3NTA=
2026/05/28 10:37:11,中部,未提供,高雄榮民總醫院,RP15032,兒童骨齡AI輔助分析軟體,"840,000",否,無,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2OTU=
2026/05/28 10:37:11,中部,未提供,高雄榮民總醫院,RP15020,胸部X光AI輔助診斷軟體,"1,400,000",否,無,公開取得報價單或企劃書,115/05/22,115/06/01,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg2MDg=
2026/05/28 10:37:11,中部,未提供,新竹市政府,1150152,地政業務流程規劃AI導入策略委託研究案,"3,000,000",否,無,經公開評選或公開徵求之限制性招標,115/05/22,115/06/03,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjg0MDA=
2026/05/28 10:37:11,中部,未提供,國立陽明交通大學,F115038,靈巧手與機器人開發AI主機一套,"489,900",否,無,公開取得電子報價單,115/05/22,115/05/26,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjgyMTk=
